Program,ParentProject,Project,StationName,StationCode,SampleDate,CollectionTime,LocationCode,CollectionDepth,UnitCollectionDepth,SampleTypeCode,CollectionReplicate,ResultsReplicate,LabBatch,LabSampleID,MatrixName,MethodName,Analyte,Unit,Result,Observation,MDL,RL,ResultQualCode,QACode,BatchVerification,ComplianceCode,SampleComments,CollectionComments,ResultsComments,BatchComments,EventCode,ProtocolCode,SampleAgency,GroupSamples,CollectionMethodName,TargetLatitude,TargetLongitude,CollectionDeviceDescription,CalibrationDate,PositionWaterColumn,PrepPreservationName,PrepPreservationDate,DigestExtractMethod,DigestExtractDate,AnalysisDate,DilutionFactor,ExpectedValue,LabAgency,SubmittingAgency,SubmissionCode,OccupationMethod,StartingBank,DistanceFromBank,UnitDistanceFromBank,StreamWidth,UnitStreamWidth,StationWaterDepth,UnitStationWaterDepth,HydroMod,HydroModLoc,LocationDetailWQComments,ChannelWidth,UpstreamLength,DownstreamLength,TotalReach,LocationDetailBAComments,county,county_fips,regional_board,rb_number,huc8,huc8_number,huc10,huc10_number,huc12,huc12_number,waterbody_type,SampleID
Riverside County NPDES MS4 Monitoring Program,San Diego Region,Santa Margarita River General Monitoring,902MS42240,RC_902MS42240,1/9/2017,11:45:00,Bank,0.1,m,Integrated,1,1,7A16077,B7A0727-02,runoff,Calculated,"Nitrogen, Total, Total",mg/L,3.1,,-88,0.5,=,None,NR,NR,,,,,WQ,Not Recorded,RCFC,,3 hour auto sampler,33.486599,-117.0635986,Not Recorded,0000-00-00,Not Applicable,Not Recorded,1/16/2017 8:22,Not Recorded,1/16/2017,1/16/2017,1,,Babcock,RCFC,NR,,,,,,,,,,,,,,,,,RIVERSIDE,65,San Diego,9,,,,,,,NULL,1617-W1-2240-01C
Riverside County NPDES MS4 Monitoring Program,San Diego Region,Santa Margarita River General Monitoring,902MS42240,RC_902MS42240,12/6/2018,11:10:00,Not Recorded,0.1,m,Integrated,1,1,8L11201,B8L0770-01,runoff,Calculated,"Nitrogen, Total, Total",mg/L,2.8,,-88,0.2,=,None,NR,NR,,,,,WQ,Not Recorded,ALTA,,Auto sampler automatically triggered,33.486599,-117.0635986,Not Recorded,0000-00-00,Not Applicable,Not Recorded,1/1/1950 0:00,Not Recorded,1/1/1950,12/11/2018,1,,Babcock,ALTA,NR,,,,,,,,,,,,,,,,,RIVERSIDE,65,San Diego,9,,,,,,,NULL,1819-W1-2240-01-C
Riverside County NPDES MS4 Monitoring Program,San Diego Region,Santa Margarita River General Monitoring,902MS43015,TEM_902MS43015,12/16/2016,5:15:00,Bank,0.1,m,Integrated,1,1,6L22066,B6L1701-01,runoff,Calculated,"Nitrogen, Total, Total",mg/L,0.7,,-88,0.5,=,None,NR,NR,,,,,WQ,Not Recorded,RCFC,,3 hour auto sampler,33.516487,-117.1723404,Not Recorded,0000-00-00,Not Applicable,Not Recorded,12/22/2016 18:33,Not Recorded,12/22/2016,12/22/2016,1,,Babcock,RCFC,NR,,,,,,,,,,,,,,,,,RIVERSIDE,65,San Diego,9,,,,,,,NULL,1617-W1-3015-01-C
Riverside County NPDES MS4 Monitoring Program,San Diego Region,Santa Margarita River General Monitoring,902MS44034,MURR_902MS44034,11/21/2016,4:45:00,Bank,0.1,m,Integrated,1,1,6K23004,B6K2141-01,runoff,Calculated,"Nitrogen, Total, Total",mg/L,2.8,,0.1,0.5,=,None,NR,NR,,,,,WQ,Not Recorded,RCFC,,3 hour auto sampler,33.547527,-117.1718826,Not Recorded,0000-00-00,Not Applicable,Not Recorded,11/23/2016 8:08,Not Recorded,11/23/2016,11/23/2016,1,,Babcock,RCFC,NR,,,,,,,,,,,,,,,,,RIVERSIDE,65,San Diego,9,,,,,,,NULL,1617-W1-4034-01-C
Riverside County NPDES MS4 Monitoring Program,San Diego Region,Santa Margarita River General Monitoring,902MS44034,MURR_902MS44034,1/9/2018,12:46:00,Not Recorded,0.1,m,Integrated,1,1,8A10123,B8A0872-01,samplewater,Calculated,"Nitrogen, Total, Total",mg/L,3.8,,-88,0.2,=,None,NR,NR,,,,,WQ,Not Recorded,ALTA,,Auto sampler automatically triggered,33.547527,-117.1718826,Not Recorded,0000-00-00,Not Applicable,Not Recorded,1/1/1950 0:00,Not Recorded,1/1/1950,1/10/2018,1,,Babcock,ALTA,NR,,,,,,,,,,,,,,,,,RIVERSIDE,65,San Diego,9,,,,,,,NULL,1718-W1-4034-01-C
Riverside County NPDES MS4 Monitoring Program,San Diego Region,Santa Margarita River General Monitoring,Adobe Creek,902ADB848,9/18/2013,8:30:00,Not Recorded,0.1,m,Integrated,1,1,13I2341,B3I1719-02,samplewater,Calculated,"Nitrogen, Total, Total",mg/L,0.8,,-88,0.2,=,None,NR,NR,,,   ,,WQ,Not Recorded,RCFC,,24 hour auto sampler,33.51302,-117.2685776,Not Recorded,0000-00-00,Not Applicable,None,1/1/1950 0:00,None,1/1/1950,9/23/2013,1, ,Babcock,AMEC,NR,,,,,,,,,,,,,,,,,Riverside,65,San Diego,9,,,,,,,,1314-D1-848-01-C
Riverside County NPDES MS4 Monitoring Program,San Diego Region,Santa Margarita River General Monitoring,Adobe Creek,902ADB848,5/13/2015,10:05:00,Not Recorded,0.1,m,Integrated,1,1,5E14019,B5E1239-02,samplewater,Calculated,"Nitrogen, Total, Total",mg/L,0.2,,-88,0.2,=,None,NR,NR,,,   ,,WQ,Not Recorded,RCFC,,24 hour auto sampler,33.51302,-117.2685776,Not Recorded,0000-00-00,Not Applicable,None,1/1/1950 0:00,None,1/1/1950,5/18/2015,1, ,Babcock,AMEC,NR,,,,,,,,,,,,,,,,,Riverside,65,San Diego,9,,,,,,,,1415-D2-848-01-C
Riverside County NPDES MS4 Monitoring Program,San Diego Region,Santa Margarita River General Monitoring,Adobe Creek,902ADB848,3/7/2016,15:58:00,Not Recorded,0.1,m,Integrated,1,1,6C08134,B6C0815-01,samplewater,Calculated,"Nitrogen, Total, Total",mg/L,0.1,,-88,0.5,=,J,NR,NR,,,   ,,WQ,Not Recorded,RCFC,,Auto sampler automatically triggered,33.51302,-117.2685776,Not Recorded,0000-00-00,Not Applicable,None,1/1/1950 0:00,None,1/1/1950,3/8/2016,1, ,Babcock,AMEC,NR,,,,,,,,,,,,,,,,,Riverside,65,San Diego,9,,,,,,,,1516-W3-848-01-C
Riverside County NPDES MS4 Monitoring Program,San Diego Region,Santa Margarita River General Monitoring,Adobe Creek,902ADB848,5/11/2016,8:44:00,Not Recorded,0.1,m,Integrated,1,1,6E17077,B6E1082-02,samplewater,Calculated,"Nitrogen, Total, Total",mg/L,0.1,,-88,0.5,=,J,NR,NR,,,   ,,WQ,Not Recorded,RCFC,,24 hour auto sampler,33.51302,-117.2685776,Not Recorded,0000-00-00,Not Applicable,None,1/1/1950 0:00,None,1/1/1950,5/17/2016,1, ,Babcock,AMEC,NR,,,,,,,,,,,,,,,,,Riverside,65,San Diego,9,,,,,,,,1516-D2-848-01-C
Riverside County NPDES MS4 Monitoring Program,San Diego Region,Santa Margarita River General Monitoring,Lower Murrieta Creek,902LMC778,1/5/2016,16:55:00,Not Recorded,0.1,m,Integrated,1,1,6A07041,B6A0356-02,samplewater,Calculated,"Nitrogen, Total, Total",mg/L,1.7,,-88,0.1,=,None,NR,NR,,,   ,,WQ,Not Recorded,RCFC,,Auto sampler automatically triggered,33.47789,-117.1421204,Not Recorded,0000-00-00,Not Applicable,None,1/1/1950 0:00,None,1/1/1950,1/7/2016,1, ,Babcock,AMEC,NR,,,,,,,,,,,,,,,,,Riverside,65,San Diego,9,,,,,,,,1516-W2-778-01-C
Riverside County NPDES MS4 Monitoring Program,San Diego Region,Santa Margarita River General Monitoring,Lower Murrieta Creek,902LMC778,11/21/2016,16:56:00,Bank,0.1,m,Integrated,1,1,6K23004,B6K2153-01,samplewater,Calculated,"Nitrogen, Total, Total",mg/L,1.1,,0.1,0.5,=,None,NR,NR,,,,,WQ,Not Recorded,RCFC,,Auto sampler automatically triggered,33.47789,-117.1421204,Not Recorded,0000-00-00,Not Applicable,None,1/1/1950 0:00,None,1/1/1950,11/23/2016,1,,Babcock,RCFC,NR,,,,,,,,,,,,,,,,,Riverside,65,San Diego,9,,,,,,,,1617-W1-778-01-C
Riverside County NPDES MS4 Monitoring Program,San Diego Region,Santa Margarita River General Monitoring,Lower Murrieta Creek,902LMC778,2/27/2018,11:06:00,Not Recorded,0.1,m,Integrated,1,1,8C06082,B8B2430-01,samplewater,Calculated,"Nitrogen, Total, Total",mg/L,1.3,,0.17,0.61,=,None,NR,NR,,,,,WQ,Not Recorded,ALTA,,Auto sampler automatically triggered,33.47789,-117.1421204,Not Recorded,0000-00-00,Not Applicable,Not Recorded,1/1/1950 0:00,Not Recorded,1/1/1950,3/6/2018,1,,Babcock,ALTA,NR,,,,,,,,,,,,,,,,,Riverside,65,San Diego,9,,,,,,,,1718-W2-778-01-C
Riverside County NPDES MS4 Monitoring Program,San Diego Region,Santa Margarita River General Monitoring,Lower Murrieta Creek,902LMC778,5/24/2018,8:27:00,Not Recorded,0.1,m,Integrated,1,1,[CALC]_180524,B8E2558-02,samplewater,Calculated,"Nitrogen, Total, Total",mg/L,0.4,,0.12,0.61,=,J,NR,NR,,,,,WQ,Not Recorded,RCFC,,24 hour auto sampler,33.47789,-117.1421204,Not Recorded,0000-00-00,Not Applicable,Not Recorded,1/1/1950 0:00,Not Recorded,1/1/1950,5/29/2018,1,,RCFC,WoodGroup,NR,,,,,,,,,,,,,,,,,Riverside,65,San Diego,9,,,,,,,,1718-D1-778-01-C
Riverside County NPDES MS4 Monitoring Program,San Diego Region,Santa Margarita River General Monitoring,Lower Murrieta Creek,902LMC778,8/29/2018,7:25:00,Not Recorded,0.1,m,Integrated,1,1,[CALC]_180829,B8H3685-02,samplewater,Calculated,"Nitrogen, Total, Total",mg/L,,,0.12,0.61,ND,None,NR,NR,,,,,WQ,Not Recorded,RCFC,,24 hour auto sampler,33.47789,-117.1421204,Not Recorded,0000-00-00,Not Applicable,Not Recorded,1/1/1950 0:00,Not Recorded,1/1/1950,9/7/2018,1,,RCFC,WoodGroup,NR,,,,,,,,,,,,,,,,,Riverside,65,San Diego,9,,,,,,,,1718-D2-778-01-C
Riverside County NPDES MS4 Monitoring Program,San Diego Region,Santa Margarita River General Monitoring,Lower Temecula Creek,902LTC777,3/1/2015,10:30:00,Not Recorded,0.1,m,Integrated,1,1,5C06028,B5C0005-02,samplewater,Calculated,"Nitrogen, Total, Total",mg/L,1.6,,-88,0.2,=,None,NR,NR,,,   ,,WQ,Not Recorded,RCFC,,3 hour auto sampler,33.474171,-117.1375732,Not Recorded,0000-00-00,Not Applicable,None,1/1/1950 0:00,None,1/1/1950,3/6/2015,1, ,Babcock,AMEC,NR,,,,,,,,,,,,,,,,,Riverside,65,San Diego,9,,,,,,,,1415-W1-777-01
Riverside County NPDES MS4 Monitoring Program,San Diego Region,Santa Margarita River General Monitoring,Lower Temecula Creek,902LTC777,1/21/2016,9:57:00,Not Recorded,0.1,m,Integrated,1,1,6A27093,B6A1996-02,samplewater,Calculated,"Nitrogen, Total, Total",mg/L,0.5,,-88,0.5,=,None,NR,NR,,,   ,,WQ,Not Recorded,RCFC,,24 hour auto sampler,33.474171,-117.1375732,Not Recorded,0000-00-00,Not Applicable,None,1/1/1950 0:00,None,1/1/1950,1/27/2016,1, ,Babcock,AMEC,NR,,,,,,,,,,,,,,,,,Riverside,65,San Diego,9,,,,,,,,1516-D1-777-01-C
Riverside County NPDES MS4 Monitoring Program,San Diego Region,Santa Margarita River General Monitoring,RCP outlet  to Warm Springs Creek d/s of M.H.S. Rd. - IAH,902MS4034,9/12/2013,13:35:00,Midchannel,0.1,m ,Integrated,1,1,B3I1196-01,B3I1196-01,runoff,Calculated,"Nitrogen, Total, Total",mg/L,1.8,,-88,0.4,=,NMDL,NR,NR,,,,,WQ,Not Recorded,Not Recorded,,Not Recorded,33.547501,-117.1719971,Not Recorded,0000-00-00,Subsurface,Not Recorded,1/1/1950 0:00,Not Recorded,1/1/1950,9/13/2013,1,0,Babcock,AMEC,NR,,,,,,,,,,,,,,,,,Riverside,65,San Diego,9,,,,,,,Murrieta Creek,1314-D1-4034-01
Riverside County NPDES MS4 Monitoring Program,San Diego Region,Santa Margarita River General Monitoring,Santa Gertrudis_Browning St SD Stg 3,902MS4263,6/2/2014,11:25:00,Midchannel,0.1,m ,Grab,1,1,B4F0106-01,B4F0106-01,runoff,Calculated,"Nitrogen, Total, Total",mg/L,2.6,,-88,0.1,=,NMDL,NR,NR,,,,,WQ,Not Recorded,Not Recorded,,Water_Grab,33.5681,-117.1100006,Not Recorded,0000-00-00,Subsurface,Not Recorded,1/1/1950 0:00,Not Recorded,1/1/1950,6/4/2014,1,0,Babcock,AMEC,NR,,,,,,,,,,,,,,,,,Riverside,65,San Diego,9,,,,,,,Murrieta Creek,1314-D1-4263-01
Riverside County NPDES MS4 Monitoring Program,San Diego Region,Santa Margarita River General Monitoring,Santa Gertrudis_Browning St SD Stg 3,902MS4263,6/2/2014,11:25:00,Not Recorded,0.1,m,Grab,1,1,14F0428,B4F0106-01,runoff,Calculated,"Nitrogen, Total, Total",mg/L,2.6,,-88,0.1,=,None,NR,NR,,,   ,,WQ,Not Recorded,RCFC,,Water_Grab,33.5681,-117.1100006,Not Recorded,0000-00-00,Not Applicable,None,1/1/1950 0:00,None,1/1/1950,6/4/2014,1, ,Babcock,AMEC,NR,,,,,,,,,,,,,,,,,Riverside,65,San Diego,9,,,,,,,Murrieta Creek,1314-D1-4263-01
Riverside County NPDES MS4 Monitoring Program,San Diego Region,Santa Margarita River General Monitoring,Santa Gertrudis_Browning St SD Stg 3,902MS4263,6/9/2015,11:20:00,Not Recorded,0.1,m,Grab,1,1,5F11045,B5F1014-01,runoff,Calculated,"Nitrogen, Total, Total",mg/L,3.6,,-88,0.2,=,None,NR,NR,,,   ,,WQ,Not Recorded,RCFC,,Water_Grab,33.5681,-117.1100006,Not Recorded,0000-00-00,Not Applicable,None,1/1/1950 0:00,None,1/1/1950,6/11/2015,1, ,Babcock,AMEC,NR,,,,,,,,,,,,,,,,,Riverside,65,San Diego,9,,,,,,,Murrieta Creek,1415-D1-4263-01
Riverside County NPDES MS4 Monitoring Program,San Diego Region,Santa Margarita River General Monitoring,Temecula Creek d/s of outlet at Butterfield Stage Rd - IAH,902RW4145,9/21/2015,11:50:00,Not Recorded,0.1,m,Grab,1,1,5I29101,B5I2257-01,samplewater,Calculated,"Nitrogen, Total, Total",mg/L,2.7,,-88,0.5,=,None,NR,NR,,,   ,,WQ,Not Recorded,RCFC,,Water_Grab,33.4832,-117.0790024,Not Recorded,0000-00-00,Not Applicable,None,1/1/1950 0:00,None,1/1/1950,9/29/2015,1, ,Babcock,AMEC,NR,,,,,,,,,,,,,,,,,Riverside,65,San Diego,9,,,,,,,Temecula Creek,1516-D1-4145-01
Riverside County NPDES MS4 Monitoring Program,San Diego Region,Santa Margarita River General Monitoring,Temecula Crk @ Butterfield Stage Rd - IAH,902MS4144,9/21/2015,9:50:00,Not Recorded,0.1,m,Grab,1,1,5I29101,B5I2241-01,runoff,Calculated,"Nitrogen, Total, Total",mg/L,3,,-88,0.5,=,None,NR,NR,,,   ,,WQ,Not Recorded,RCFC,,Water_Grab,33.482899,-117.0770035,Not Recorded,0000-00-00,Not Applicable,None,1/1/1950 0:00,None,1/1/1950,9/29/2015,1, ,Babcock,AMEC,NR,,,,,,,,,,,,,,,,,Riverside,65,San Diego,9,,,,,,,Temecula Creek,1516-D1-4144-01
Riverside County NPDES MS4 Monitoring Program,San Diego Region,Santa Margarita River General Monitoring,Warm Springs Creek d/s of M.H.S. Rd. u/s of outlet- IAH,902RW4033,12/7/2013,15:00:00,Not Recorded,0.1,m,Integrated,1,1,[CALC]_RCFC120713,B3L0701-01,samplewater,Calculated,"Nitrogen, Total, Total",mg/L,1.4,,0.25,0.8,=,None,NR,NR,,,AgencyCode and SampleDate added to LabBatch to make it unique. AgencyCode and SampleDate added to LabBatch to make it unique Analyte not requested.   ,,WQ,Not Recorded,RCFC,,3 hour auto sampler,33.547401,-117.1719971,Not Recorded,0000-00-00,Not Applicable,None,1/1/1950 0:00,None,1/1/1950,12/11/2013,1, ,Babcock,AMEC,NR,,,,,,,,,,,,,,,,,Riverside,65,San Diego,9,,,,,,,Murrieta Creek,1314-W1-4033-01
Riverside County NPDES MS4 Monitoring Program,San Diego Region,Santa Margarita River General Monitoring,Warm Springs VY Euclid Loop SD,902MS4309,6/9/2015,13:40:00,Not Recorded,0.1,m,Grab,1,1,5F11045,B5F1003-01,runoff,Calculated,"Nitrogen, Total, Total",mg/L,1.8,,-88,0.5,=,None,NR,NR,,,   ,,WQ,Not Recorded,RCFC,,Water_Grab,33.605099,-117.112999,Not Recorded,0000-00-00,Not Applicable,None,1/1/1950 0:00,None,1/1/1950,6/11/2015,1, ,Babcock,AMEC,NR,,,,,,,,,,,,,,,,,Riverside,65,San Diego,9,,,,,,,Murrieta Creek,1415-D1-4309-01
Riverside County NPDES MS4 Monitoring Program,San Diego Region,Santa Margarita River General Monitoring,1060,RCFC_1060,5/14/2020,8:35:00,Not Recorded,0.1,m,Grab,1,1,0E15030,C0E1776-01,runoff,Calculated,"Nitrogen, Total, Total",mg/L,1.7,,-88,0.2,=,None,NR,NR,Vegetation growing outside of outfall. Flows remained contstant through sampling.,,,,WQ,Not Recorded,RCFC,,Water_Grab,33.594463,-117.2137527,Not Recorded,0000-00-00,Not Recorded,None,1/1/1950 0:00,None,1/1/1950,5/15/2020,1,,Babcock,WoodGroup,NR,,,,,,,,,,,,,,,,,RIVERSIDE,65,San Diego,9,,,,,,,NULL,1920-D1-1060-01
Riverside County NPDES MS4 Monitoring Program,San Diego Region,Santa Margarita River General Monitoring,902MS41025,RCFC_902MS41025,8/1/2019,13:05:00,Not Recorded,0.1,m,Grab,1,1,9H05127,B9H0134-01,runoff,Calculated,"Nitrogen, Total, Total",mg/L,2.4,,-88,0.2,=,None,NR,NR,Notified D. Ortega of flow presence. Flows enter channel.; Notified D. Ortega of flow presence. Flows enter channel.; Notified D. Ortega of flow presence. Flows enter channel.,,,,WQ,Not Recorded,RCFC,,Water_Grab,33.524101,-117.1651001,Not Recorded,0000-00-00,Not Recorded,None,1/1/1950 0:00,None,1/1/1950,8/5/2019,1,,Babcock,WoodGroup,NR,,,,,,,,,,,,,,,,,RIVERSIDE,65,San Diego,9,,,,,,,NULL,1819-D2-1025-01
Riverside County NPDES MS4 Monitoring Program,San Diego Region,Santa Margarita River General Monitoring,902MS41032,RCFC_902MS41032,8/27/2020,11:15:00,Not Recorded,0.1,m,Grab,1,1,0H28018,C0H3663-01,runoff,Calculated,"Nitrogen, Total, Total",mg/L,2.1,,-88,0.2,=,None,NR,NR,Flows remained consistent during course of sampling.,,,,WQ,Not Recorded,RCFC,,Water_Grab,33.552101,-117.1361008,Not Recorded,0000-00-00,Not Recorded,None,1/1/1950 0:00,None,1/1/1950,8/28/2020,1,,Babcock,WoodGroup,NR,,,,,,,,,,,,,,,,,RIVERSIDE,65,San Diego,9,,,,,,,NULL,1920 D2-1032-01
Riverside County NPDES MS4 Monitoring Program,San Diego Region,Santa Margarita River General Monitoring,902MS41032,RCFC_902MS41032,6/21/2021,11:45:00,Not Recorded,0.1,m,Grab,1,1,1F22090,C1F2554-01,runoff,Calculated,"Nitrogen, Total, Total",mg/L,1,,-88,0.2,=,None,NR,NR,Flows remained constant throughout sampling event.,,,,WQ,Not Recorded,RCFC,,Water_Grab,33.552101,-117.1361008,Not Recorded,0000-00-00,Not Applicable,None,1/1/1950 0:00,None,1/1/1950,6/22/2021,1,,Babcock,WoodGroup,NR,,,,,,,,,,,,,,,,,RIVERSIDE,65,San Diego,9,,,,,,,NULL,2021-D1-1032-01
Riverside County NPDES MS4 Monitoring Program,San Diego Region,Santa Margarita River General Monitoring,902MS41037,RCFC_902MS41037,8/27/2020,12:10:00,Not Recorded,0.1,m,Grab,1,1,0H28018,C0H3664-01,runoff,Calculated,"Nitrogen, Total, Total",mg/L,3.8,,-88,0.2,=,None,NR,NR,Flows remained constant during sample. Significant amount of sediment and algae 20 feet in pipe where sample was taken.,,,,WQ,Not Recorded,RCFC,,Water_Grab,33.568001,-117.1103973,Not Recorded,0000-00-00,Not Recorded,None,1/1/1950 0:00,None,1/1/1950,8/28/2020,1,,Babcock,WoodGroup,NR,,,,,,,,,,,,,,,,,RIVERSIDE,65,San Diego,9,,,,,,,NULL,1920 D2-1037-01
Riverside County NPDES MS4 Monitoring Program,San Diego Region,Santa Margarita River General Monitoring,902MS41061,RCFC_902MS41061,6/4/2019,8:00:00,Not Recorded,0.1,m,Grab,1,1,9F06024,B9F0380-01,runoff,Calculated,"Nitrogen, Total, Total",mg/L,2.2,,-88,0.2,=,None,NR,NR,Flow source is unknown. Ponding d/s of riprap at outfall and leads to riparian vegetation. Moderate flows were sampleable.,,,,WQ,Not Recorded,RCFC,,Water_Grab,33.594299,-117.2065964,Not Recorded,0000-00-00,Not Recorded,None,1/1/1950 0:00,None,1/1/1950,6/6/2019,1,,Babcock,WoodGroup,NR,,,,,,,,,,,,,,,,,RIVERSIDE,65,San Diego,9,,,,,,,NULL,1819-D1-1061 -01
Riverside County NPDES MS4 Monitoring Program,San Diego Region,Santa Margarita River General Monitoring,902MS41061,RCFC_902MS41061,8/1/2019,11:05:00,Not Recorded,0.1,m,Grab,1,1,9H05127,B9H0123-01,runoff,Calculated,"Nitrogen, Total, Total",mg/L,2.8,,-88,0.2,=,None,NR,NR,"Measureable flow, staff sampled site. Flows entered ponded area downstream from riprap.; Measureable flow, staff sampled site. Flows entered ponded area downstream from riprap.; Measureable flow, staff sampled site. Flows entered ponded area downstream fr",,,,WQ,Not Recorded,RCFC,,Water_Grab,33.594299,-117.2065964,Not Recorded,0000-00-00,Not Recorded,None,1/1/1950 0:00,None,1/1/1950,8/5/2019,1,,Babcock,WoodGroup,NR,,,,,,,,,,,,,,,,,RIVERSIDE,65,San Diego,9,,,,,,,NULL,1819-D2-1061-01
Riverside County NPDES MS4 Monitoring Program,San Diego Region,Santa Margarita River General Monitoring,902MS43038,TEM_902MS43038,8/27/2020,8:40:00,Not Recorded,0.1,m,Grab,1,1,0H28018,C0H3661-01,runoff,Calculated,"Nitrogen, Total, Total",mg/L,2.7,,-88,0.2,=,None,NR,NR,Flows remained constant during sampling,,,,WQ,Not Recorded,RCFC,,Water_Grab,33.509567,-117.1159439,Not Recorded,0000-00-00,Not Recorded,None,1/1/1950 0:00,None,1/1/1950,8/28/2020,1,,Babcock,WoodGroup,NR,,,,,,,,,,,,,,,,,RIVERSIDE,65,San Diego,9,,,,,,,NULL,1920 D2-3038-01
Riverside County NPDES MS4 Monitoring Program,San Diego Region,Santa Margarita River General Monitoring,902MS43038,TEM_902MS43038,6/14/2021,9:10:00,Not Recorded,0.1,m,Grab,1,1,1F22090,C1F1797-01,runoff,Calculated,"Nitrogen, Total, Total",mg/L,0.7,,-88,0.2,=,None,NR,NR,Flow remained constant during sample event.,,,,WQ,Not Recorded,RCFC,,Water_Grab,33.509567,-117.1159439,Not Recorded,0000-00-00,Not Applicable,LabFiltered,6/22/2021 6:59,None,1/1/1950,6/22/2021,1,,Babcock,WoodGroup,NR,,,,,,,,,,,,,,,,,RIVERSIDE,65,San Diego,9,,,,,,,NULL,2021 D1-3038-01
Riverside County NPDES MS4 Monitoring Program,San Diego Region,Santa Margarita River General Monitoring,902MS44034,MURR_902MS44034,11/30/2018,2:40:00,Not Recorded,0.1,m,Integrated,1,1,8L04135,B8K3415-01,runoff,Calculated,"Nitrogen, Total, Total",mg/L,4.1,,-88,0.2,=,None,NR,NR,,,,,WQ,Not Recorded,ALTA,,Auto sampler automatically triggered,33.547527,-117.1718826,Not Recorded,0000-00-00,Not Applicable,Not Recorded,1/1/1950 0:00,Not Recorded,1/1/1950,12/4/2018,1,,Babcock,ALTA,NR,,,,,,,,,,,,,,,,,RIVERSIDE,65,San Diego,9,,,,,,,NULL,1819-W1-4034-01-C
Riverside County NPDES MS4 Monitoring Program,San Diego Region,Santa Margarita River General Monitoring,902MS44034,MURR_902MS44034,3/11/2020,1:30:00,Not Recorded,0.1,m,Integrated,1,1,0C19068,C0C1671-01,runoff,Calculated,"Nitrogen, Total, Total",mg/L,1.6,,-88,0.2,=,None,NR,NR,,,,,WQ,Not Recorded,NV5_Oceanside,,Auto sampler automatically triggered,33.547527,-117.1718826,Not Recorded,0000-00-00,Not Applicable,Not Recorded,1/1/1950 0:00,Not Recorded,1/1/1950,3/19/2020,1,,Babcock,NV5_Oceanside,NR,,,,,,,,,,,,,,,,,RIVERSIDE,65,San Diego,9,,,,,,,NULL,1920-W1-4034-01-C
Riverside County NPDES MS4 Monitoring Program,San Diego Region,Santa Margarita River General Monitoring,902MS44062,MURR_902MS44062,8/1/2019,9:30:00,Not Recorded,0.1,m,Grab,1,1,9H05127,B9H0128-01,runoff,Calculated,"Nitrogen, Total, Total",mg/L,1.6,,-88,0.2,=,None,NR,NR,Outfall located underneath clinton keith. Culvert has significant sediment build up. Sampleable flow. Will notify City of Murrieta.,,,,WQ,Not Recorded,RCFC,,Water_Grab,33.582161,-117.2562103,Not Recorded,0000-00-00,Not Recorded,None,1/1/1950 0:00,None,1/1/1950,8/5/2019,1,,Babcock,WoodGroup,NR,,,,,,,,,,,,,,,,,RIVERSIDE,65,San Diego,9,,,,,,,NULL,1819-D2-4062-01
Riverside County NPDES MS4 Monitoring Program,San Diego Region,Santa Margarita River General Monitoring,902MS45031,WILD_902MS45031,3/22/2018,18:04:00,Not Recorded,0.1,m,Integrated,1,1,8C30039,B8C2233-01,samplewater,Calculated,"Nitrogen, Total, Total",mg/L,3,,-88,0.2,=,None,NR,NR,,,,,WQ,Not Recorded,ALTA,,Auto sampler automatically triggered,33.603699,-117.2787018,Not Recorded,0000-00-00,Not Applicable,Not Recorded,1/1/1950 0:00,Not Recorded,1/1/1950,3/30/2018,1,,Babcock,ALTA,NR,,,,,,,,,,,,,,,,,RIVERSIDE,65,San Diego,9,,,,,,,NULL,1718-W1-5031-01-C
Riverside County NPDES MS4 Monitoring Program,San Diego Region,Santa Margarita River General Monitoring,Adobe Creek,902ADB848,9/18/2013,8:30:00,Midchannel,0.1,m ,Integrated,1,1,B3I1719-02,B3I1719-02,samplewater,Calculated,"Nitrogen, Total, Total",mg/L,0.8,,-88,0.2,=,NMDL,NR,NR,,,,,WQ,Not Recorded,Not Recorded,,Not Recorded,33.51302,-117.2685776,Not Recorded,0000-00-00,Subsurface,Not Recorded,1/1/1950 0:00,Not Recorded,1/1/1950,9/23/2013,1,0,Babcock,AMEC,NR,,,,,,,,,,,,,,,,,Riverside,65,San Diego,9,,,,,,,,1314-D1-848-01-C
Riverside County NPDES MS4 Monitoring Program,San Diego Region,Santa Margarita River General Monitoring,Adobe Creek,902ADB848,5/7/2014,8:02:00,Midchannel,0.1,m ,Integrated,1,1,B4E0562-02,B4E0562-02,samplewater,Calculated,"Nitrogen, Total, Total",mg/L,,,-88,0.2,=,NMDL,NR,NR,,,,,WQ,Not Recorded,Not Recorded,,Not Recorded,33.51302,-117.2685776,Not Recorded,0000-00-00,Subsurface,Not Recorded,1/1/1950 0:00,Not Recorded,1/1/1950,5/9/2014,1,0,Babcock,AMEC,NR,,,,,,,,,,,,,,,,,Riverside,65,San Diego,9,,,,,,,,1314-D2-848-01C
